rf_ohm,cf_f,fc_hz,vout_3uA_mV,fc_pass,gain_pass
45037.62874382757,9.941744415335228e-08,35.54528666254804,135.11288623148272,True,True
47909.013573889024,1.0222704208241792e-07,32.49653887851605,143.7270407216671,True,True
48415.16629076454,9.719264854015948e-08,33.82246739524706,145.24549887229364,True,True
46807.711667685224,1.048196716384335e-07,32.43843749978711,140.42313500305568,True,True
46425.45858892353,9.851384674579091e-08,34.798990993055575,139.2763757667706,True,True
46378.16905965272,9.81818714175728e-08,34.95225711691289,139.13450717895816,True,True
46891.67726969826,1.0341664302916937e-07,32.819648705567566,140.67503180909478,True,True
49339.14701375232,1.0266503617431284e-07,31.419981868809224,148.01744104125697,True,True
47423.54055617784,1.0307923618680097e-07,32.557793579495886,142.27062166853352,True,True
45401.72830871014,1.0008954544496497e-07,35.02345847081542,136.20518492613044,True,True
47603.8487343202,1.0296272513875566e-07,32.47117741063288,142.8115462029606,True,True
45783.76637300367,1.0075097554784335e-07,34.5031983532947,137.35129911901103,True,True
44759.38660143446,9.73989638163719e-08,36.507464269559705,134.27815980430339,True,True
46979.11105340872,9.59927961295186e-08,35.29203446681089,140.93733316022616,True,True
49054.36857006096,1.0017508684977436e-07,32.38789436908918,147.16310571018286,True,True
47217.95619665268,9.85221619251048e-08,34.21204333499565,141.65386858995805,True,True
46167.70193438939,9.849120744827301e-08,35.00131914254833,138.50310580316818,True,True
48564.073676987835,1.0026156867551778e-07,32.68665860678424,145.6922210309635,True,True
47463.45243342038,1.0327565934524187e-07,32.46854522671991,142.39035730026114,True,True
46552.35670668995,1.0072045836390579e-07,33.943823939331665,139.65707012006985,True,True
46121.54312700109,1.0217366195591877e-07,33.7735990474361,138.36462938100328,True,True
48206.78232467137,1.0215064176201468e-07,32.3199654442849,144.6203469740141,True,True
44767.58204088034,1.030790370953859e-07,34.489439813572744,134.30274612264103,True,True
46282.738874659255,9.876294221572118e-08,34.81825975766041,138.84821662397778,True,True
46569.094017454925,1.0484292837817452e-07,32.597417877226434,139.70728205236477,True,True
48942.409392331625,9.672367556522727e-08,33.620331747316584,146.82722817699488,True,True
48512.62442114262,1.0000460517823263e-07,32.80540188447436,145.53787326342785,True,True
47046.37369545075,1.0491734069865845e-07,32.24383600126315,141.13912108635225,True,True
44780.18326187417,9.611425013715281e-08,36.97826096360851,134.34054978562253,True,True
47221.94293829547,9.992494059434692e-08,33.72891576872562,141.6658288148864,True,True
46938.906486775275,1.0257270206544586e-07,33.05638572771902,140.81671946032583,True,True
48465.4183733185,1.0450635664163726e-07,31.4228417430928,145.3962551199555,True,True
